"FARM_NO","YEAR","COMPANY","AREA_GRP","FARM_LEVEL","UPDOWN","MSY","PSY","S_MODON","BING","BDAY","C_BDAY","D_BDAY","E_BDAY","F_BDAY","G_BDAY","BUNMAN_GIGAN","BUNMAN_RATIO","CHONGSAN_AVG","SILSAN_AVG","MILA_AVG","SASAN_AVG","EUDUSU_AVG","POU_AVG","JAGI_AVG","ZAEGI7_RATIO","DIE_SANCHA","CHO_GYOBAE","AVG_SANCHA"
"775","2010",피그플랜,"010009","180003","3",0,21.4,202,2.2,51,23.8,3.2,23.4,0.2,0.3,115.7,82.4,12,10.7,0.5,0.8,9.7,26.2,11.7,"62.7","5.2",246,"7.2"
"1492","2010",피그플랜,"010001","180002","3",0,23.1,114,2.36,42.4,15,0.3,23.6,1,2.5,115.2,70.2,11.4,10.2,0.2,1.1,9.8,24.6,6.6,"96.2","2.7",249,"5.7"
"1391","2010",피그플랜,"010009","180002","4",0,18.2,128,1.97,81.7,25.6,3.5,48.3,2.2,2.1,114.1,63.7,11,10.2,0,0.8,9.2,30.4,8.1,"81.5","4.7",244,"6.6"
"110","2010",피그플랜,"010003","180006","3",0,20.7,996,2.32,36.9,15.5,3.4,16.2,1.5,0.4,115.6,88.2,10.9,10.1,0.2,0.5,8.9,25.8,7.6,"82.8","5.3",248,"6.6"
"1830","2010",피그플랜,"010004","180004","3",0,21.2,327,2.28,41.8,19.6,1.8,16.3,4.2,0,115.8,87.5,10.9,10.1,0,0.8,9.3,26.8,9.2,"84.7","7.5",238,"8.2"
"881","2010",피그플랜,"010002","180005","3",16.5,21.6,441,2.2,58.8,14.8,2.5,30.9,9.6,1,113.9,79.1,12.1,11.1,0,1,9.8,25.8,7.1,"94.8","6.2",254,"8.6"
"1707","2010",피그플랜,"010001","180005","2",0,25.4,409,2.42,22.6,10.5,0.4,11.4,0,0.3,113.9,90.8,12.7,11.8,0.2,0.7,10.5,26.8,4.8,"98.7","4.9",258,"6.9"
"2476","2010",피그플랜,"010001","180007","4",0,19.4,"1,200",2.23,54.6,14.2,0.8,39.5,0.1,0,115.6,75.6,9.2,9,0,0.2,8.7,24.3,6.9,"86.8","5.6",238,"6.8"
"1078","2010",피그플랜,"010004","180005","3",0,23.1,439,2.41,38,11.9,3.1,22.2,0.5,0.4,113.9,83.2,11.5,10.5,0.3,0.7,9.6,22.1,6.3,"91.9","3.9",258,"5.1"
"118","2010",피그플랜,"010009","180003","3",0,21.8,273,2.37,37.8,15.5,0.6,20,1.4,0.4,115.3,77.8,11,10,0.1,0.8,9.2,23.2,7.5,"83.8","4.2",244,"6.2"
"2088","2010",피그플랜,"010006","180005","3",0,22.5,408,2.31,50.9,17,0.4,33.3,0.1,0,114.8,78.8,11.6,11.1,0,0.5,9.8,21.5,8,"89.1","5.1",230,"7.5"
"1217","2010",피그플랜,"010001","180004","4",0,17.8,339,1.96,83.8,13.2,0.5,69.5,0.7,0,114.8,74.9,11.4,10,0.4,1.1,9.1,24.6,6.2,"92.8",,248,"4"
