"연도","상시모돈","모돈평균산차","평균도폐산차","PSY","모돈회전율","평균이유두수","평균총산","평균실산","평균사산","평균미라","임신기간","포유기간","비생산일수","비생산일_이유_교배","비생산일_이유_도폐사","비생산일_교배_사고","비생산일_사고_교배","비생산일_사고_도폐사","분만율","재귀발정일","재귀율_7일_이내","최초교배일령"
"2014",1266,5,6.4,25.8,2.5,10.3,12.7,11.5,0.9,0.3,114.1,20,28.8,12.9,1,14.9,0.1,0,87.9,5.8,93.9,251
"2014",473,6.4,4.8,26.3,2.35,11.2,13.8,13,0.7,0.1,114.1,28,31.8,15.5,2.3,11.1,0.7,2.3,88.4,7.7,92.4,242
"2014",1062,4.4,NA,17.3,2.06,8.4,10.8,10,0.7,0.1,116.1,24.3,69.1,13.6,27.2,21.4,0.3,6.6,80.1,12.4,82.8,NA
"2014",214,4.4,5.7,24.9,2.37,10.5,12.4,11.4,0.7,0.2,113.9,20.2,46.4,11.9,1.7,32.8,0,0,81.3,5.5,96.7,248
"2014",540,5.1,6.1,22.6,2.25,10.1,11.8,10.7,0.9,0.1,115.5,25.5,50.1,11.6,2.8,29.3,4.1,2.3,74.5,5.7,93.8,251
"2014",250,3.8,4.6,17.9,2.23,8,11.9,11.6,0.3,0,115.8,24.5,49.7,19.2,2.6,27,0.9,0,83.3,9.9,73.8,267
"2014",952,4.7,3.7,22.7,2.31,9.8,10.7,10,0.5,0.2,115.7,27.8,46.6,28,6.4,11.6,0.6,0,91.4,9.6,85.2,240
"2014",519,3.7,1.6,26.9,2.39,11.3,15,13.2,1.2,0.6,114.6,23.1,34.9,12.4,2.2,14.4,4.2,1.7,86.3,5.7,96.2,258
"2014",980,4.5,NA,25.9,2.46,10.5,11.7,11,0.4,0.3,113.8,24.9,24.3,12.4,0.7,10.4,0.4,0.3,88.7,6.1,91.7,258
"2014",330,5.2,6.2,25.6,2.4,10.7,13.4,12.1,1.4,0,116.3,24.4,29.1,13.9,0.8,14.2,0.2,0,88.3,6.6,88.7,223
"2014",590,3.1,4.6,25.4,2.43,10.4,11,10.8,0.1,0.1,114.3,21.5,34.7,16.6,6.3,8.9,1.7,1.1,92.4,8,89.2,258
"2009",267,6.4,5.1,26.3,2.49,10.6,12.8,11.5,0.6,0.6,114.9,24.8,24.9,9.9,0.4,12.4,0.9,1.4,90.6,6,90.6,252
"2009",919,5.6,4.1,23.7,2.36,10.1,11.6,10.6,0.7,0.3,115.6,25.7,31.8,10,2.3,16.7,0.9,1.9,84.5,5,94.8,256
"2009",307,6.8,4.4,19.5,2.19,8.9,10.9,10,0.9,0,114.7,26,57.9,16.7,2.2,39,0.1,0,70.4,9.4,79.3,239
"2009",91,5.2,3.5,23,2.48,9.3,10,9.4,0.3,0.2,115.6,21.6,39.7,26.6,0,12.8,0.4,0,97.7,7.4,88,220
"2009",104,6.1,4.9,18.7,2.17,8.6,10.1,9.3,0.8,0,114.9,25.2,62,13.7,5.6,36.3,6.4,0,75.9,7.5,82.1,226
"2009",318,8.3,6.8,21.8,2.31,9.4,11.4,10.2,0.9,0.3,115.1,22.1,48,21.4,3.3,17.7,3.9,1.8,86.2,10.1,83.8,269
"2009",93,7.1,3.4,21.6,2.3,9.4,11.5,10.7,0.5,0.3,113.7,24.9,46.6,15.4,3.5,21.9,2,3.7,78.4,7.9,86.6,243
"2009",1806,7.7,3.8,21.5,2.3,9.4,11.3,10.6,0.5,0.2,114.9,26.3,38.3,17.1,2.6,14.9,2.6,1.1,85.3,7.9,87.5,269
"2009",1334,6,5.3,23.9,2.43,9.8,11.6,11.3,0.2,0.1,115.6,22.8,28.1,12,4.6,10.7,0.3,0.4,90.8,5.7,91.8,262
"2009",390,4.7,3.9,21.3,2.37,9,11.3,9.9,0.9,0.5,114.1,28,27.6,12.9,0.8,13.8,0,0,87.7,6.9,90.8,248
"2009",356,4.4,6.1,22,2.41,9.1,11.9,10.9,0.5,0.5,115.9,26,21.6,9.6,0.3,11.1,0.5,0.1,87.1,4.9,93.6,249
"2009",460,7.2,6.6,26.6,2.54,10.5,12.1,11.5,0.3,0.3,113.9,22.4,21.5,12,0.3,8.6,0.5,0,93,5.6,95.6,235
"2009",57,7.2,4.4,21.5,2.23,9.6,10.7,10.3,0.4,0,114.2,25.2,59.5,11.4,0.6,44.7,2.6,0.1,69.6,6.1,94.3,233
"2009",173,8,4.8,19.5,2.09,9.3,11.2,10.8,0.3,0.1,115.5,31.2,58.5,16.2,1.7,36.6,2.5,1.5,69.7,8.5,85.7,241
"2009",454,8.6,7.9,24.3,2.45,9.9,11.8,10.6,1.1,0,115.2,19.8,34.1,14.9,2.3,16.8,0.1,0,88.4,6.4,91.4,267
"2009",399,7.3,5,20.6,2.16,9.5,10.7,10.3,0.4,0,116.3,24.9,61.6,15.1,2.2,41.1,2.3,0.9,71.5,8.4,87.3,228
"2009",551,5.9,4.9,22.7,2.3,9.8,11.1,10.2,0.9,0,115.8,21.2,50.5,20.7,1.9,27.8,0.1,0,76.5,7.4,86.9,231
"2009",502,7.7,6.7,24.2,2.37,10.2,12,11.1,0.8,0.1,115.2,26.9,27.3,11.5,0.6,13.9,1.1,0.1,87.1,5.2,94.8,255
"2009",372,6.9,7.7,21.6,2.41,9,12,10.9,0.7,0.3,115.1,23.7,31.2,11.1,0.9,18.5,0.6,0.2,85.9,5.1,92.9,244
"2009",534,7,5,20.9,2.32,9,10.8,9.6,0.8,0.5,114.6,20,52.7,12.5,0.7,30.6,6.8,2.2,76.7,5.7,93.9,249
"2009",566,6,5.4,23.9,2.46,9.7,11.4,11.2,0.2,0,114.9,23.7,28.9,11.4,3,14.2,0,0.1,85.9,5.7,94.3,286
"2009",291,6.8,5.7,19.6,2.12,9.3,11.3,10.8,0.4,0.1,115.9,25.4,66,20.4,10.3,25.4,6.9,2.9,79.1,9.9,86.1,245
"2009",160,8.1,6.8,23,2.33,9.8,11.9,10.7,1.2,0,116.2,21.9,42.8,14.3,0.5,27.9,0.2,0,84.9,7.1,86.8,266
"2009",333,7.2,5.1,22.8,2.25,10.1,11.8,10.6,1.2,0,115.6,27.1,41.4,16.7,2.8,21.5,0.4,0,79.3,8.4,84.8,199
"2009",175,5.3,5,21.1,2.26,9.3,10.7,10.4,0.3,0,114.9,22.4,54.6,17.4,1.7,33.9,1.3,0.3,70.7,8.4,86.1,217
"2009",1027,6.2,4.3,22.9,2.45,9.4,11.4,10,1.3,0.1,114.9,20.4,33.5,15.8,2.2,13.9,0.8,0.8,85.4,7.7,86.3,245
"2009",291,9.6,6.6,21.7,2.25,9.7,12,11,0.7,0.2,115,26.1,44.4,13.3,2.1,28.8,0.1,0.1,87.2,6.3,90.2,248
"2009",409,7,4.3,22.2,2.29,9.7,11.6,10.9,0.6,0.2,114.1,26.8,42.7,13,3.6,20,3.4,2.7,81.2,6.9,89.8,256
"2009",120,NA,3.4,21.5,2.15,10,11.9,11.1,0.8,0,115.5,27.2,56.5,13.8,4.3,30,7,1.4,76,7.2,90,230
"2009",269,7.1,4.4,19.6,2.29,8.6,10.6,10,0.6,0.1,115,25.6,43.3,19.9,4.6,17.7,0.5,0.7,80.7,9.1,76.9,226
"2009",98,10.9,0,24.7,2.52,9.8,11.4,11.4,0,0,115.8,26.9,14.3,10.5,0,3.6,0.3,0,97.8,5.2,94.1,230
"2009",218,6.7,5.8,19.7,2.18,9,11,10.3,0.7,0,114.4,27.7,54.3,13.9,2.5,30.4,4.5,3,76.5,6.6,87.3,242
"2009",202,6.4,3.4,24.4,2.44,10,11.8,10.7,0.8,0.3,114.9,23.9,28.3,11.7,0.9,12.8,1.9,1,89.1,5.3,98.8,251
"2009",274,8.1,6.1,20.4,2.28,8.9,11.4,10.2,0.9,0.4,114.9,24.6,44.3,11.4,0,28.9,3.3,0.6,77.3,5.1,98,242
"2009",397,5.8,3.8,22,2.31,9.5,11.5,11,0.4,0.1,115.5,26.6,39.3,12.9,5.4,20.8,0.1,0.1,82,6.7,88.2,242
"2009",226,7,7.4,22.5,2.31,9.7,11.8,10.7,1,0,115.3,28.3,35.9,15.4,1.3,18.4,0.5,0.4,86.3,6.9,85.4,232
"2009",1242,7,5.1,22.6,2.45,9.2,10.9,10,0.7,0.3,114.4,19.4,36.2,12.1,0.8,22.8,0.5,0,78.4,5.7,95.5,254
"2009",143,5.9,4.5,21.7,2.19,9.9,11.8,10.8,1,0,116.1,25.3,56.5,12,1,41.8,0.8,0.9,76,6.2,88.5,232
"2009",123,6.2,4.1,19.8,2.2,9,11.4,10.6,0.8,0,115.7,25.2,58.6,16.6,0.9,41.1,0,0,74,9,89,250
"2009",50,7.4,0,25.4,2.53,10,11.8,10.8,1,0,116.2,24.5,21.1,21.1,0,0,0,0,100,10.4,90.1,222
"2009",464,8.3,7,21.3,2.39,8.9,10.9,10.5,0.3,0.1,114.1,22.2,38.9,13.6,0.1,24.2,0.8,0.1,81.4,6.3,89.3,230
"2009",210,5.6,4.8,18.5,2.14,8.7,10.2,9.8,0.4,0,115,27.1,62.3,20,5.5,25.8,7.1,3.8,78.5,9.8,86.8,201
"2009",268,4.6,4.8,19.3,2.26,8.5,11.4,10.6,0.6,0.2,114.2,24.1,50,12.6,2.1,33.1,1.9,0.4,82.4,6.3,88.4,257
"2009",1041,5.3,3.9,20.5,2.19,9.4,11.2,10.1,1,0.1,115.8,26,55,12.4,6,27.6,4.4,4.6,79,7.3,86.4,256
"2009",2262,7.3,7.3,23.3,2.44,9.5,11.4,10.2,1,0.2,116.5,19.4,32.8,15.5,2.5,14.8,0,0.1,89.4,7.2,89,264
"2009",931,5.8,4.9,22.9,2.31,9.9,11.8,10.6,1,0.2,115.6,26.9,36.2,10.8,1.7,18,3.7,2,85.5,5.7,92.6,255
