"YEAR","REGION","SCALE","PSY","상시모돈","모돈회전율","비생산일수","비생산일_이유_교배","비생산일_이유_도폐사","비생산일_교배_사고","비생산일_사고_교배","비생산일_사고_도폐사","임신기간","분만율","평균총산","평균실산","평균미라","평균사산","평균이유두수","포유기간","재귀발정일","재귀율_7일_이내","평균도폐산차","최초교배일령","모돈평균산차"
2014,10002,180002,20.4,162,2.18,55.5,13.9,1.1,33.3,5.7,1.5,115.9,66.5,11.8,11.1,0.1,0.6,9.4,26.7,5.1,94.6,4.7,243,4.6
2014,10004,180002,17.6,120,2.26,51.8,25,3.3,20.4,2.2,0.9,115.6,84.2,11.6,10.6,0,1,7.8,24.7,14.4,68.8,4.3,247,4.1
2014,10007,180002,23.6,149,2.51,21,14.5,0,5.6,0.9,0,115.5,95.7,9.6,9.6,0,0,9.4,21.4,5.8,91.8,0,NA,10.1
2014,10006,180006,24.2,716,2.4,35.6,13.9,1.4,20,0.2,0.1,113.4,84.4,11.6,10.7,0.3,0.6,10.1,24.4,6.9,88.5,4.7,253,4.2
2014,10008,180002,21.1,144,2.21,55.8,20.6,4.4,29,1,0.7,115.5,82.6,12,11,0.1,0.9,9.6,24.2,10.9,65.8,5.3,252,3.5
2014,10005,180002,20.3,134,2.25,51.5,15.1,6.4,28.9,1.1,0,114.7,76.3,11.9,11.1,0,0.8,9,24.3,7.7,83.5,6,244,4.4
2014,10009,180003,21.9,274,2.18,58.9,11.5,2.1,36.6,7.6,1.1,115.7,69.9,11.7,11.3,0,0.4,10.1,24.4,6.1,93.8,6,244,4.9
2014,10007,180007,25.5,1561,2.43,34.4,15.4,7.4,9.6,0.5,1.4,114.5,93.4,11.8,11.2,0.1,0.4,10.5,21.5,7.5,86.7,4.5,252,4.3
2014,10007,180007,20.8,1592,2.07,76.2,12.6,6.6,55.4,1,0.7,116.5,66.3,12.8,11.6,0.4,0.8,10,23.2,7.3,86.4,1.5,259,3.8
2014,10005,180007,25.8,1266,2.5,28.8,12.9,1,14.9,0.1,0,114.1,87.9,12.7,11.5,0.3,0.9,10.3,20,5.8,93.9,6.4,251,5
2014,10001,180005,26.3,473,2.35,31.8,15.5,2.3,11.1,0.7,2.3,114.1,88.4,13.8,13,0.1,0.7,11.2,28,7.7,92.4,4.8,242,6.4
2014,10002,180007,17.3,1062,2.06,69.1,13.6,27.2,21.4,0.3,6.6,116.1,80.1,10.8,10,0.1,0.7,8.4,24.3,12.4,82.8,NA,NA,4.4
2014,10007,180003,24.9,214,2.37,46.4,11.9,1.7,32.8,0,0,113.9,81.3,12.4,11.4,0.2,0.7,10.5,20.2,5.5,96.7,5.7,248,4.4
2014,10006,180006,22.6,540,2.25,50.1,11.6,2.8,29.3,4.1,2.3,115.5,74.5,11.8,10.7,0.1,0.9,10.1,25.5,5.7,93.8,6.1,251,5.1
2014,10009,180003,17.9,250,2.23,49.7,19.2,2.6,27,0.9,0,115.8,83.3,11.9,11.6,0,0.3,8,24.5,9.9,73.8,4.6,267,3.8
2014,10008,180006,22.7,952,2.31,46.6,28,6.4,11.6,0.6,0,115.7,91.4,10.7,10,0.2,0.5,9.8,27.8,9.6,85.2,3.7,240,4.7
2014,10004,180006,26.9,519,2.39,34.9,12.4,2.2,14.4,4.2,1.7,114.6,86.3,15,13.2,0.6,1.2,11.3,23.1,5.7,96.2,1.6,258,3.7
2014,10004,180006,25.9,980,2.46,24.3,12.4,0.7,10.4,0.4,0.3,113.8,88.7,11.7,11,0.3,0.4,10.5,24.9,6.1,91.7,NA,258,4.5
2014,10004,180004,25.6,330,2.4,29.1,13.9,0.8,14.2,0.2,0,116.3,88.3,13.4,12.1,0,1.4,10.7,24.4,6.6,88.7,6.2,223,5.2
2014,10007,180006,25.4,590,2.43,34.7,16.6,6.3,8.9,1.7,1.1,114.3,92.4,11,10.8,0.1,0.1,10.4,21.5,8,89.2,4.6,258,3.1
2009,10002,180003,26.3,267,2.49,24.9,9.9,0.4,12.4,0.9,1.4,114.9,90.6,12.8,11.5,0.6,0.6,10.6,24.8,6,90.6,5.1,252,6.4
2009,10004,180006,23.7,919,2.36,31.8,10,2.3,16.7,0.9,1.9,115.6,84.5,11.6,10.6,0.3,0.7,10.1,25.7,5,94.8,4.1,256,5.6
2009,10005,180004,19.5,307,2.19,57.9,16.7,2.2,39,0.1,0,114.7,70.4,10.9,10,0,0.9,8.9,26,9.4,79.3,4.4,239,6.8
2009,10009,180001,23,91,2.48,39.7,26.6,0,12.8,0.4,0,115.6,97.7,10,9.4,0.2,0.3,9.3,21.6,7.4,88,3.5,220,5.2
2009,10006,180002,18.7,104,2.17,62,13.7,5.6,36.3,6.4,0,114.9,75.9,10.1,9.3,0,0.8,8.6,25.2,7.5,82.1,4.9,226,6.1
2009,10005,180004,21.8,318,2.31,48,21.4,3.3,17.7,3.9,1.8,115.1,86.2,11.4,10.2,0.3,0.9,9.4,22.1,10.1,83.8,6.8,269,8.3
2009,10007,180001,21.6,93,2.3,46.6,15.4,3.5,21.9,2,3.7,113.7,78.4,11.5,10.7,0.3,0.5,9.4,24.9,7.9,86.6,3.4,243,7.1
2009,10008,180007,21.5,1806,2.3,38.3,17.1,2.6,14.9,2.6,1.1,114.9,85.3,11.3,10.6,0.2,0.5,9.4,26.3,7.9,87.5,3.8,269,7.7
2009,10007,180007,23.9,1334,2.43,28.1,12,4.6,10.7,0.3,0.4,115.6,90.8,11.6,11.3,0.1,0.2,9.8,22.8,5.7,91.8,5.3,262,6
2009,10003,180004,21.3,390,2.37,27.6,12.9,0.8,13.8,0,0,114.1,87.7,11.3,9.9,0.5,0.9,9,28,6.9,90.8,3.9,248,4.7
